"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"SVN","Europe","Slovenia","2020-12-16","100401.0","2120.0","2190.0","48294.509","1053.426",,,"4.5","81.32","0.896"
"ESP","Europe","Spain","2020-12-16","1773290.0","11078.0","48596.0","37927.457","1039.38",,,"2.97","83.56","0.891"
"SWE","Europe","Sweden","2020-12-16","348585.0","7556.0","7802.0","34515.861","772.531",,,"2.22","82.8","0.933"
"CHE","Europe","Switzerland","2020-12-16","394453.0","5625.0","6379.0","45577.17","737.063",,,"4.53","83.78","0.944"
"UKR","Europe","Ukraine","2020-12-16","945218.0","11057.0","16314.0","21613.006","373.03",,,"8.8","72.06","0.751"
"GBR","Europe","United Kingdom","2020-12-16","1918736.0","25300.0","65618.0","28264.088","966.591","0.203",,"2.54","81.32","0.922"
"VAT","Europe","Vatican","2020-12-16","27.0","0.0",,"33374.536",,,,,"75.12",
"OWID_INT","International","International","2020-12-16","721.0","0.0","15.0",,,,,,,
"ATG","North America","Antigua and Barbuda","2020-12-16","151.0","3.0","5.0","1541.949","51.058",,,"3.8","77.02","0.78"
"BHS","North America","Bahamas","2020-12-16","7714.0","16.0","164.0","19616.12","417.04",,,"2.9","73.92","0.807"
"BRB","North America","Barbados","2020-12-16","301.0","4.0","7.0","1047.426","24.359",,"88.469","5.8","79.19","0.8"
"BLZ","North America","Belize","2020-12-16","9672.0","161.0","212.0","24324.671","533.171",,"90.083","1.3","74.62","0.708"
"CAN","North America","Canada","2020-12-16","485576.0","6512.0","13815.0","12865.613","366.036",,,"2.5","82.43","0.926"
"CRI","North America","Costa Rica","2020-12-16","155263.0","1167.0","1967.0","30478.902","386.132",,"83.841","1.13","80.28","0.794"
"CUB","North America","Cuba","2020-12-16","9671.0","83.0","137.0","853.83","12.095",,"85.198","5.2","78.8","0.777"
"DMA","North America","Dominica","2020-12-16","88.0","0.0",,"1222.375",,,,"3.8","75.0","0.715"
"DOM","North America","Dominican Republic","2020-12-16","156585.0","788.0","2372.0","14434.586","218.66",,"55.182","1.6","74.08","0.736"
"SLV","North America","El Salvador","2020-12-16","42397.0","265.0","1219.0","6536.492","187.937",,"90.65","1.3","73.32","0.674"
"GRD","North America","Grenada","2020-12-16","85.0","16.0",,"755.428",,,,"3.7","72.4","0.772"
"GTM","North America","Guatemala","2020-12-16","130828.0","746.0","4510.0","7302.476","251.736",,"76.665","0.6","74.3","0.65"
"HTI","North America","Haiti","2020-12-16","9597.0","0.0","234.0","841.655","20.522",,"22.863","0.7","64.0","0.498"
"HND","North America","Honduras","2020-12-16","115317.0","374.0","3013.0","11642.763","304.202",,"84.169","0.7","75.27","0.617"
"JAM","North America","Jamaica","2020-12-16","11907.0","32.0","276.0","4021.058","93.207",,"66.425","1.7","74.47","0.732"
"MEX","North America","Mexico","2020-12-16","1277499.0","10297.0","115769.0","9908.258","897.902",,"87.847","1.38","75.05","0.774"
"NIC","North America","Nicaragua","2020-12-16","5938.0","51.0","163.0","896.362","24.605",,,"0.9","74.48","0.658"
"PAN","North America","Panama","2020-12-16","199947.0","2960.0","3439.0","46340.151","797.03",,,"2.3","78.51","0.789"
"KNA","North America","Saint Kitts and Nevis","2020-12-16","28.0","0.0",,"526.395",,,,"2.3","76.23","0.778"
"LCA","North America","Saint Lucia","2020-12-16","278.0","0.0","4.0","1513.922","21.783",,"87.202","1.3","76.2","0.747"
